iter	Logloss
0	0.6725496388
1	0.660237527
2	0.6469573832
3	0.6309827775
4	0.6170655593
5	0.6038083402
6	0.5906330223
7	0.5785222847
8	0.5674473003
9	0.5570955381
10	0.5479221581
11	0.5386812307
12	0.5279699289
13	0.5202548529
14	0.5105070762
15	0.504429896
16	0.4977630634
17	0.4908439811
18	0.4816021391
19	0.4728660315
20	0.4658878776
21	0.4585473817
22	0.4532883291
23	0.4463551437
24	0.4398962341
25	0.4348548608
26	0.4297204211
27	0.4245788041
28	0.4196818375
29	0.4149641796
30	0.4104447156
31	0.4042130102
32	0.3998606757
33	0.3955043102
34	0.3908700323
35	0.3859815483
36	0.3805424185
37	0.3761385039
38	0.3720957605
39	0.367821594
40	0.3647642263
41	0.3597712778
42	0.3554745503
43	0.3495610946
44	0.3449689561
45	0.3402879793
46	0.3370867562
47	0.3332051416
48	0.3308588429
49	0.3272276514
50	0.3239548187
51	0.3203619658
52	0.3169223684
53	0.3135864455
54	0.3121144599
55	0.3085698441
56	0.3043876324
57	0.301538173
58	0.2983004647
59	0.2946752608
60	0.2912297858
61	0.2884927044
62	0.2854621907
63	0.2831975359
64	0.2807315896
65	0.2781163484
66	0.2751827905
67	0.27264908
68	0.2682379095
69	0.2644777641
70	0.2620684197
71	0.2595029447
72	0.257995137
73	0.2556081046
74	0.2528546494
75	0.2496013259
76	0.2477317577
77	0.2457926889
78	0.243233631
79	0.2408796595
80	0.2378074576
81	0.2353148245
82	0.2330968231
83	0.2310862159
84	0.2275812432
85	0.225747546
86	0.2237917054
87	0.2209635839
88	0.2184664538
89	0.2160473629
90	0.2138888118
91	0.2109739854
92	0.2091998397
93	0.207516006
94	0.2056406052
95	0.2034719487
96	0.2017733433
97	0.1994885918
98	0.1971706714
99	0.1945850928
100	0.1929058774
101	0.1908737538
102	0.1887564504
103	0.1875564467
104	0.1855966923
105	0.1834433035
106	0.1812359421
107	0.1795120489
108	0.1780741312
109	0.1767491221
110	0.1739220531
