iter	Passed	Remaining
0	236	50385
1	485	51453
2	780	54868
3	1084	56919
4	1334	55773
5	1580	54790
6	1836	54305
7	2184	56244
8	2485	56618
9	2776	56643
10	3019	55724
11	3272	55090
12	3528	54563
13	3788	54117
14	4018	53311
15	4235	52414
16	4458	51665
17	4689	51063
18	4919	50486
19	5146	49919
20	5367	49327
21	5606	48927
22	5843	48530
23	6074	48085
24	6280	47480
25	6496	46976
26	6727	46591
27	6965	46272
28	7237	46171
29	7480	45879
30	7701	45461
31	7923	45067
32	8147	44686
33	8360	44259
34	8468	43309
35	8682	42929
36	8904	42595
37	9116	42224
38	9344	41928
39	9554	41563
40	9796	41335
41	10016	41021
42	10252	40772
43	10502	40579
44	10734	40315
45	10981	40107
46	11194	39776
47	11420	39494
48	11640	39198
49	11895	39017
50	12132	38777
51	12380	38570
52	12633	38378
53	12838	38040
54	13064	37767
55	13293	37505
56	13506	37200
57	13729	36928
58	13947	36641
59	14157	36336
60	14372	36049
61	14596	35784
62	14806	35488
63	15050	35274
64	15299	35072
65	15531	34828
66	15762	34582
67	15973	34296
68	16193	34029
69	16411	33761
70	16622	33479
71	16858	33249
72	17082	32995
73	17314	32757
74	17541	32510
75	17756	32241
76	17965	31963
77	18191	31718
78	18420	31477
79	18640	31222
80	18855	30960
81	19060	30683
82	19272	30418
83	19514	30200
84	19740	29959
85	19969	29721
86	20209	29501
87	20481	29325
88	20714	29093
89	20932	28839
90	21188	28639
91	21436	28427
92	21677	28204
93	21931	27998
94	22148	27743
95	22312	27425
96	22478	27113
97	22611	26764
98	22763	26442
99	22904	26111
100	23044	25782
101	23176	25449
102	23316	25127
103	23459	24812
104	23602	24501
105	23742	24190
106	23886	23886
107	24034	23589
108	24172	23285
109	24311	22985
110	24462	22699
