Date,Close,High,Low,Open,Volume,returns,log_returns,returns_2d,returns_3d,returns_5d,returns_10d,rsi_7,rsi_14,rsi_21,rsi_divergence,rsi_ma,rsi_oversold,rsi_overbought,rsi_neutral_zone,rsi_turning_up,rsi_turning_down,macd,macd_signal,macd_histogram,macd_above_signal,macd_hist_positive,macd_hist_slope,macd_crossover,macd_crossunder,macd_above_zero,momentum_5d,momentum_21d,momentum_63d,momentum_126d,momentum_252d,momentum_12_1,momentum_zscore,momentum_sharpe,momentum_positive,momentum_strong_positive,momentum_strong_negative,sma_5,price_to_sma_5,sma_10,price_to_sma_10,sma_20,price_to_sma_20,sma_50,price_to_sma_50,sma_200,price_to_sma_200,ema_12,ema_26,trend_up,golden_cross,death_cross,sma_20_slope,sma_50_slope,volatility_10d,volatility_20d,volatility_60d,volatility_ratio,atr_14,atr_percent,volatility_regime,high_volatility,volume_sma_20,volume_ratio,obv,obv_change,volume_trend,high_volume,bb_upper,bb_lower,bb_middle,bb_width,bb_position,bb_squeeze,in_squeeze,above_upper_bb,below_lower_bb,future_returns,target
2018-01-02,237.90916442871094,237.94457909508534,236.69647548677364,237.08595577646562,86655700,,,,,,,,,,,,0,0,0,0,0,,,,0,0,,0,0,0,,,,,,,,,0,0,0,,,,,,,,,,,237.90916442871094,237.90916442871094,0,0,0,,,,,,,0.0,0.0,,0,,,86655700,,,0,,,,,,,0,0,0,0.021468269964336706,1
2018-01-03,239.4139862060547,239.5644782837666,238.07735938767658,238.07735938767658,90070400,0.00632519466392667,0.006305274574991485,,,,,,,,,,0,0,0,0,0,,,,0,0,,0,0,0,,,,,,,,,0,0,0,,,,,,,,,,,238.72427622477213,238.69051419771634,0,0,0,,,,,,,0.0,0.0,,0,,,176726100,,,0,,,,,,,0,0,0,0.013494890293230144,1
2018-01-04,240.42306518554688,240.90992905381995,239.47594572233194,240.06016615617438,80636400,0.004214787095285777,0.004205929759291626,0.010566641108057162,,,,,,,,,0,0,0,0,0,,,,0,0,,0,0,0,,,,,,,,,0,0,0,,,,,,,,,,,239.38731394849253,239.31300294593143,0,0,0,,,,,,,0.0,0.0,,0,,,257362500,,,0,,,,,,,0,0,0,0.01660452670368273,1
2018-01-05,242.02525329589844,242.14916410368429,240.72404124003702,241.21973849812952,83524000,0.0066640366185959365,0.006641930084721815,0.01090691120942422,0.017301094209932755,,,,,,,,0,0,0,0,0,,,,0,0,,0,0,0,,,,,,,,,0,0,0,,,,,,,,,,,240.22000830858605,240.07122961958217,0,0,0,,,,,,,0.0,0.0,,0,,,340886500,,,0,,,,,,,0,0,0,0.016457913116820322,1
2018-01-08,242.46780395507812,242.62712940296544,241.63573504259494,241.92783169705507,57319200,0.0018285309204433275,0.0018268611929022586,0.008504752936051352,0.012755385754260606,,,,,,,,0,0,0,0,0,,,,0,0,,0,0,0,,,,,,,,,0,0,0,240.4478546142578,1.0084007792211782,,,,,,,,,240.83072635216877,240.6270050928916,0,0,0,,,,,,,0.0,0.0,,0,,,398205700,,,0,,,,,,,0,0,0,0.011134605424543365,1
2018-01-09,243.01666259765625,243.64513112142592,242.60946145743256,242.89272476885523,57254000,0.0022636351450595615,0.002261076982794575,0.004096305192358152,0.01078763973875696,0.021468269964336706,,,,,,,0,0,0,0,0,,,,0,0,,0,0,0,0.021468269964336706,,,,,,,,0,0,0,241.46935424804687,1.006407887056425,,,,,,,,,241.36202386150075,241.10563443187147,0,0,0,,,,,,,0.0,0.0,,0,,,455459700,4.255969313039996,,0,,,,,,,0,0,0,0.018466891953832443,1
2018-01-10,242.6448516845703,242.91042114233343,241.58265489393824,242.2553714239632,69574300,-0.0015299811507226702,-0.0015311527670698944,0.0007301906752328335,0.0025600567719037404,0.013494890293230144,,89.11962413779199,,,,,0,0,0,0,0,,,,0,0,,0,0,0,0.013494890293230144,,,,,,,,0,0,0,242.11552734375,1.002186246981462,,,,,,,,,241.6482824019467,241.37937624117322,0,0,0,,,,,,,0.0,0.0,,0,,,385885400,1.1835224112341076,,0,,,,,,,0,0,0,0.018313199248923384,1
2018-01-11,244.41517639160156,244.4151763916016,243.03430182548283,243.20248769051383,62361500,0.007295950005700602,0.007269463314814467,0.0057548061889924895,0.008031468115594631,0.01660452670368273,,93.21839697613336,,,,,0,0,0,0,0,,,,0,0,,0,0,0,0.01660452670368273,,,,,,,,0,0,0,242.91394958496093,1.0061800765629376,,,,,,,,,242.22569053115689,241.8685188674523,0,0,0,,,,,,,0.0,0.0,,0,,,448246900,0.741694691340036,,0,,,,,,,0,0,0,0.015536715492384001,1
2018-01-12,246.00848388671875,246.176642719131,244.37973390415436,244.68071795407198,90816100,0.006518856638281667,0.006497700783894536,0.013862367896109395,0.012311177583801403,0.016457913116820322,,95.1405581451087,,,,,0,0,0,0,0,,,,0,0,,0,0,0,0.016457913116820322,,,,,,,,0,0,0,243.710595703125,1.0094287578140135,,,,,,,,,242.97406169775294,242.48215256769896,0,0,0,,,,,,,0.0,0.0,,0,,,539063000,0.5813562578746885,,0,,,,,,,0,0,0,0.017163684937464785,1
2018-01-16,245.16758728027344,247.92933646551307,244.46828956559077,247.2743138292236,106555100,-0.0034181610046933875,-0.00342401626363986,0.003078413132032276,0.010396823086040952,0.011134605424543365,,81.00372265750562,,,,,0,0,0,0,0,,,,0,0,,0,0,0,0.011134605424543365,,,,,,,,0,0,0,244.25055236816405,1.0037544844964246,242.34920349121094,1.0116294328533442,,,,,,,243.38973394313913,242.85271642153634,0,0,0,,,,,,,0.0,0.0,,0,,,432507900,0.08614191107761648,,0,,,,,,,0,0,0,0.02281857757957262,1
