feature,importance
macd_signal,0.5896656
bb_squeeze,0.35560492
macd_histogram,0.29120758
momentum_63d,0.2635969
volatility_20d,0.23296167
volatility_regime,0.22881429
volatility_ratio,0.20934874
momentum_12_1,0.17345779
volume_ratio,0.16785626
rsi_21,0.14888403
rsi_divergence,0.12000796
macd,0.10780479
macd_hist_slope,0.09156302
rsi_14,0.088098414
momentum_sharpe,0.084654726
rsi_7,0.08265332
rsi_ma,0.07566894
price_to_sma_50,0.07288601
atr_percent,0.065996945
obv_change,0.053255163
price_to_sma_200,0.05275454
bb_position,0.05149595
momentum_21d,0.051081233
returns,0.04992153
momentum_5d,0.04705344
price_to_sma_20,0.04491755
returns_5d,0.018368645
macd_above_signal,0.014053828
golden_cross,0.010723699
macd_hist_positive,0.0045263246
momentum_positive,0.0043619075
trend_up,0.0020332648
rsi_turning_up,0.0009717716
rsi_overbought,0.0
rsi_oversold,0.0
macd_above_zero,0.0
macd_crossover,0.0
below_lower_bb,0.0
above_upper_bb,0.0
