feature,importance
macd_signal,0.47592685
bb_squeeze,0.20478502
momentum_63d,0.18745992
vol_zscore,0.14675531
volatility_ratio,0.11607623
rsi_slope_3,0.107412435
dist_from_52w_low,0.10318949
atr_ratio,0.10208101
rsi_21,0.09932062
volatility_20d,0.09882606
adx,0.09740414
macd_hist_slope,0.089893594
high_vol_regime,0.06525553
momentum_accel_21d,0.06244017
macd,0.062214375
macd_histogram,0.061564613
volume_ratio_20,0.057623133
momentum_12_1,0.049915563
mean_reversion_score,0.04769943
price_vs_sma_50,0.047164593
adx_diff,0.04417595
mfi,0.04412759
trend_score,0.04304129
momentum_sharpe_252,0.039812945
rsi_ma_5,0.037125006
atr_percent,0.037059482
cci,0.035267364
stoch_rsi_d,0.034186196
rsi_ma_10,0.033924196
macd_fast_signal,0.033907566
macd_hist_accel,0.033549335
rsi_divergence_5,0.031405363
price_vs_sma_200,0.026916558
stoch_rsi_k,0.026709605
macd_cross_strength,0.024120143
momentum_5d,0.023804082
rsi_divergence_10,0.023298973
price_zscore_50,0.022899006
macd_normalized,0.022507949
alpha_score,0.022189409
momentum_21d,0.022079019
price_vs_sma_20,0.021049252
rsi_14,0.019052483
rsi_of_rsi,0.01831001
williams_r,0.015766839
returns_vol_5d,0.015682895
macd_fast,0.015602182
up_days_ratio_20,0.015410608
dist_from_52w_high,0.015049263
returns,0.013012443
rsi_7,0.011844633
momentum_10d,0.011783298
roc_21,0.010007676
rsi_5,0.009518495
price_zscore_20,0.0068934998
rsi_dist_from_30,0.006487736
bb_position,0.0061941505
roc_10,0.005952038
rsi_slope_5,0.005202803
roc_5,0.003980607
low_vol_regime,0.0036207272
rsi_dist_from_50,0.0023212666
obv_trend,0.0022389968
rsi_turning_up,0.002203588
rsi_macd_bearish,0.001298575
returns_5d,0.0010653171
trend_bull,0.000974089
rsi_oversold,0.0
rsi_extreme_oversold,0.0
rsi_dist_from_70,0.0
rsi_extreme_overbought,0.0
rsi_cross_above_30,0.0
rsi_cross_below_70,0.0
rsi_overbought,0.0
macd_above_zero,0.0
above_200_sma,0.0
trend_bear,0.0
macd_above_signal,0.0
extreme_vol_regime,0.0
mfi_overbought,0.0
mfi_oversold,0.0
squeeze_on,0.0
triple_bearish,0.0
triple_bullish,0.0
rsi_macd_bullish,0.0
oversold_in_uptrend,0.0
pullback_buy,0.0
