feature,importance
atr,0.41885713
vol_ratio,0.2751156
atr_ratio,0.24557506
momentum_accel_63d,0.215877
adx,0.1782813
range_52w_position,0.16318832
realized_vol_21d,0.14863178
rsi_14_ema_10,0.119971134
dist_from_52w_high,0.11241909
bb_width,0.105193816
adx_neg,0.1040055
realized_vol_5d,0.10219857
momentum_accel_21d,0.09207237
macd_histogram,0.09123966
momentum_126d,0.08159684
rsi_14_accel,0.07882721
momentum_sharpe_63,0.078770205
bb_squeeze,0.07794267
macd_signal,0.074085236
obv_slope,0.07322786
momentum_252d,0.07179235
price_vs_sma_200,0.06656873
mfi,0.06637415
volume_ratio,0.065708034
trend_score,0.06516702
momentum_63d,0.06489647
alpha_score,0.061230887
adx_pos,0.060971476
returns_10d,0.06081045
rsi_14_slope_5,0.060390245
atr_percent,0.060254954
macd_hist_slope,0.059151676
rsi_14_slope_3,0.05884347
macd_fast_signal,0.05868998
macd_signal_normalized,0.05708189
vol_percentile,0.05532678
high_low_range,0.052417465
momentum_sharpe_252,0.052318927
dist_from_52w_low,0.052101184
close_position,0.042026125
adx_diff,0.0396947
volatility_20d,0.038035948
macd,0.03741238
price_vs_sma_100,0.03627191
price_vs_sma_20,0.035875265
macd_hist_accel,0.034578346
returns_5d,0.031567466
volatility_60d,0.031362914
macd_normalized,0.030622791
stoch_d,0.027652528
rsi_of_rsi,0.027049186
price_vs_sma_10,0.026700793
macd_fast,0.025914181
bb_position,0.025196642
momentum_12_1,0.024345413
ll_count_5,0.022498159
rsi_14,0.02236071
cci,0.021074744
price_vs_sma_50,0.020880489
returns_21d,0.020172779
gap_size,0.019834459
hh_count_5,0.018851368
rsi_14_ema_5,0.018077096
stoch_k,0.017869875
returns,0.013964453
rsi_21,0.013568624
rsi_7,0.013423695
momentum_5d,0.013106878
mean_reversion_score,0.013002331
lower_low,0.012925845
momentum_10d,0.012050724
rsi_28,0.01024706
gap_down,0.00935945
vol_price_div,0.009204919
rsi_5,0.008779318
rsi_dist_30,0.008602864
momentum_quality,0.008315547
higher_high,0.0060176933
momentum_21d,0.005985121
log_returns,0.0047574714
rsi_bearish_div,0.0044755978
squeeze_on,0.0041781873
weak_trend,0.0040363315
inside_bar,0.0040317676
williams_r,0.00324188
roc_21,0.0030723817
rsi_dist_50,0.0026979465
roc_5,0.0026742308
regime_score,0.0024381748
macd_hist_positive,0.0024006525
stoch_cross_up,0.0022803417
strong_trend,0.002236299
trend_following_regime,0.0021717453
mean_reversion_regime,0.0020918602
gap_up,0.0019415342
cci_oversold,0.0017194402
extreme_vol_regime,0.0016314914
neutral_regime,0.0015926841
low_vol_regime,0.0015235275
trend_up,0.0014451375
normal_vol_regime,0.0014168358
macd_cross_up,0.0013591035
outside_bar,0.0011299759
roc_10,0.0009898358
mfi_overbought,0.0008703673
high_vol_regime,0.00063187105
rsi_bullish_div,0.0005798829
rsi_cross_down_70,0.00057544216
rsi_cross_down_50,0.00046152403
bull_regime,0.00041442085
rsi_cross_up_50,0.00034485164
rsi_dist_70,0.00032769522
cci_overbought,0.00015662587
macd_above_signal,7.612752e-05
rsi_overbought_75,0.0
macd_above_zero,0.0
macd_cross_down,0.0
macd_hist_increasing,0.0
rsi_oversold_20,0.0
rsi_oversold_30,0.0
rsi_oversold_25,0.0
rsi_overbought_70,0.0
rsi_cross_up_30,0.0
rsi_overbought_80,0.0
golden_cross,0.0
true_squeeze,0.0
death_cross,0.0
mfi_oversold,0.0
bear_regime,0.0
new_52w_high,0.0
new_52w_low,0.0
