entry_date,exit_date,entry_price,exit_price,shares,position_pct,confidence,regime,pnl,pnl_pct,holding_days,exit_reason,stop_loss,take_profit
2024-09-19,2024-09-25,227.7,224.99,43.87,10.0,0.626,bull,-128.87,-1.29,6,signal,214.66,255.61
2024-11-29,2024-12-24,236.38,256.91,52.7,12.5,0.641,bull,1068.34,8.58,25,take_profit,226.94,256.47
2025-01-23,2025-01-30,222.76,236.4,45.26,10.0,0.759,neutral,606.5,6.02,7,signal,210.92,246.11
2025-03-11,2025-04-01,220.2,222.32,46.05,10.0,0.749,neutral,87.43,0.86,21,signal,204.97,250.31
2025-04-04,2025-04-15,187.83,201.35,54.03,10.0,0.875,neutral,719.55,7.09,11,signal,170.04,223.13
2025-04-17,2025-04-23,196.41,203.8,52.03,10.0,0.819,bear,374.13,3.66,6,signal,177.44,234.04
2025-05-07,2025-05-23,195.68,194.76,52.41,10.0,0.714,bear,-58.25,-0.57,16,trailing_stop,181.96,222.82
2025-06-02,2025-08-01,201.38,201.85,50.9,10.0,0.824,bear,14.0,0.14,60,trailing_stop,191.11,221.61
2025-08-04,2025-08-07,203.02,219.46,51.19,10.1,0.948,bear,829.96,7.99,3,take_profit,194.95,218.87
2025-08-20,2025-08-22,225.9,227.43,45.73,10.0,0.681,neutral,59.19,0.57,2,signal,215.26,246.85
2025-09-09,2025-09-10,234.24,226.46,137.61,31.2,0.598,neutral,-1102.18,-3.42,1,signal,224.84,252.69
2025-12-03,2025-12-05,284.29,278.64,128.35,35.7,0.624,bull,-761.15,-2.09,2,end_of_period,270.29,314.18
