feature,importance
atr,0.45834062
macd_histogram,0.2200293
macd_signal,0.17509775
bb_width,0.15826377
dist_from_52w_low,0.14819565
mfi,0.14377083
momentum_sharpe_63,0.14369403
momentum_63d,0.13532019
atr_ratio,0.1344552
obv_slope,0.12624441
volume_ratio,0.12080214
trend_score,0.11598373
momentum_12_1,0.1108341
macd_signal_normalized,0.10565122
vol_percentile,0.10474659
momentum_accel_21d,0.10206399
adx,0.10091988
rsi_14_accel,0.08617038
alpha_score,0.07915202
bb_squeeze,0.0771665
volatility_60d,0.07716452
adx_neg,0.076913096
momentum_accel_63d,0.076762185
trend_up,0.075804494
realized_vol_21d,0.07478834
price_vs_sma_200,0.07161552
dist_from_52w_high,0.067993924
price_vs_sma_100,0.06795001
atr_percent,0.066994
macd_hist_slope,0.06275244
macd,0.060818043
macd_fast,0.06048757
macd_hist_accel,0.059835687
realized_vol_5d,0.056938227
returns,0.056371912
rsi_14_slope_3,0.054706715
momentum_quality,0.053659216
returns_21d,0.052988462
close_position,0.05269497
macd_normalized,0.051886898
volatility_20d,0.050903384
momentum_252d,0.050537776
rsi_5,0.04888014
vol_ratio,0.048159715
gap_size,0.047923267
momentum_sharpe_252,0.047773637
stoch_k,0.046934348
rsi_28,0.046779014
stoch_d,0.044208553
range_52w_position,0.04328948
adx_diff,0.042657938
rsi_14,0.039807793
returns_5d,0.038812224
cci,0.038610835
returns_10d,0.038478613
hh_count_5,0.033059556
log_returns,0.03305237
adx_pos,0.032800794
roc_10,0.031040713
price_vs_sma_10,0.03085911
macd_fast_signal,0.02969875
high_low_range,0.02916049
rsi_14_ema_10,0.028202785
momentum_10d,0.026026834
rsi_14_ema_5,0.025240796
bb_position,0.023727326
momentum_126d,0.021933334
mean_reversion_score,0.02132446
momentum_5d,0.020730866
rsi_of_rsi,0.020177497
normal_vol_regime,0.019816265
rsi_21,0.019702168
ll_count_5,0.017785227
price_vs_sma_20,0.01702009
williams_r,0.016974205
rsi_14_slope_5,0.016560389
momentum_21d,0.016543776
price_vs_sma_50,0.014869996
neutral_regime,0.014533138
lower_low,0.014193301
rsi_7,0.010255412
roc_21,0.008850231
rsi_dist_30,0.0073718713
squeeze_on,0.006945267
extreme_vol_regime,0.005323994
outside_bar,0.005028779
macd_above_zero,0.004575194
mean_reversion_regime,0.0042289207
cci_oversold,0.004115784
regime_score,0.0035052188
gap_up,0.0033892116
weak_trend,0.0033148972
rsi_cross_up_50,0.003063445
trend_following_regime,0.0029690976
roc_5,0.0024766375
vol_price_div,0.0022548777
stoch_cross_up,0.0014781554
higher_high,0.0011000406
strong_trend,0.0009415227
rsi_dist_50,0.0007399285
macd_hist_positive,0.0
macd_cross_down,0.0
macd_cross_up,0.0
macd_hist_increasing,0.0
rsi_overbought_70,0.0
rsi_oversold_25,0.0
rsi_oversold_30,0.0
rsi_overbought_80,0.0
rsi_overbought_75,0.0
rsi_cross_up_30,0.0
rsi_dist_70,0.0
rsi_cross_down_70,0.0
rsi_cross_down_50,0.0
rsi_bearish_div,0.0
rsi_bullish_div,0.0
rsi_oversold_20,0.0
macd_above_signal,0.0
cci_overbought,0.0
death_cross,0.0
low_vol_regime,0.0
high_vol_regime,0.0
golden_cross,0.0
true_squeeze,0.0
mfi_oversold,0.0
mfi_overbought,0.0
bull_regime,0.0
bear_regime,0.0
inside_bar,0.0
gap_down,0.0
new_52w_high,0.0
new_52w_low,0.0
