entry_date,exit_date,entry_price,exit_price,shares,position_pct,confidence,regime,pnl,pnl_pct,holding_days,exit_reason,stop_loss,take_profit
2024-07-24,2024-08-02,114.26,107.17,87.43,10.0,0.614,neutral,-629.08,-6.3,9,trailing_stop,102.46,137.68
2024-08-05,2024-08-12,100.46,108.92,98.81,10.0,0.939,neutral,825.33,8.31,7,signal,81.93,137.37
2024-12-16,2025-01-07,132.03,140.03,75.8,10.0,0.68,neutral,595.9,5.95,22,trailing_stop,121.32,153.26
2025-01-30,2025-02-04,124.68,118.56,80.74,10.0,0.809,neutral,-503.68,-5.0,5,signal,107.47,158.92
2025-03-10,2025-03-12,107.0,115.66,93.59,10.0,0.824,neutral,799.4,7.98,2,signal,90.86,139.13
2025-04-04,2025-04-09,94.34,114.25,106.99,10.0,0.978,bear,2118.22,20.99,5,signal,82.72,117.44
2025-04-21,2025-04-23,96.94,102.64,106.29,10.0,0.895,bear,594.88,5.77,2,signal,82.95,124.78
2025-05-28,2025-05-29,134.85,139.1,76.84,10.0,0.64,neutral,315.3,3.04,1,signal,125.0,154.35
2025-06-05,2025-06-06,140.03,141.62,74.22,10.0,0.667,neutral,107.41,1.03,1,signal,129.8,160.3
2025-07-01,2025-07-07,153.36,158.14,67.83,10.0,0.668,bull,313.76,3.02,6,signal,143.0,175.55
2025-08-19,2025-08-29,175.71,174.07,159.26,26.8,0.842,bull,-288.07,-1.03,10,trailing_stop,163.75,201.35
2025-09-02,2025-10-10,170.85,183.06,179.03,29.4,0.902,bull,2153.52,7.04,38,trailing_stop,156.57,201.51
2025-12-01,2025-12-05,180.0,182.32,82.44,14.0,0.822,neutral,176.14,1.19,4,end_of_period,162.05,215.64
