feature,importance
macd_signal,0.36037773
dist_from_52w_low,0.3195977
bb_squeeze,0.28169763
adx_neg,0.25921935
momentum_accel_63d,0.25110567
momentum_126d,0.23716307
adx_pos,0.21918721
volume_ratio,0.21364398
atr_ratio,0.18917038
vol_percentile,0.18873015
price_vs_sma_100,0.17016134
momentum_accel_21d,0.16995549
vol_ratio,0.16868106
bb_width,0.16124049
rsi_14_accel,0.15189348
volatility_60d,0.14176336
rsi_21,0.12477513
trend_score,0.124545455
mfi,0.1217601
momentum_63d,0.11827695
adx,0.11678823
macd_histogram,0.11578306
volatility_20d,0.103808165
momentum_sharpe_63,0.09527029
realized_vol_21d,0.09504404
atr,0.09359353
rsi_14_slope_5,0.083513245
macd_hist_accel,0.07984179
adx_diff,0.07301133
stoch_k,0.06946323
close_position,0.06854869
rsi_of_rsi,0.06747304
macd_fast,0.06340079
returns_21d,0.0629659
rsi_14_ema_10,0.058426347
stoch_d,0.057651
rsi_14_slope_3,0.056356467
momentum_12_1,0.055738747
alpha_score,0.054175906
rsi_14,0.052517544
macd_signal_normalized,0.050695363
realized_vol_5d,0.050690424
cci,0.050373316
macd_fast_signal,0.049515095
price_vs_sma_50,0.048688255
macd,0.0486037
high_low_range,0.045814004
returns_10d,0.044722468
rsi_5,0.042788368
macd_normalized,0.041875657
momentum_sharpe_252,0.040820826
atr_percent,0.04023669
rsi_28,0.03911729
macd_hist_slope,0.036343068
momentum_252d,0.035872363
obv_slope,0.035446517
rsi_7,0.032446973
range_52w_position,0.0319224
returns_5d,0.031791616
price_vs_sma_10,0.03127649
gap_size,0.030060692
mean_reversion_score,0.028791465
normal_vol_regime,0.026672907
returns,0.025362652
rsi_14_ema_5,0.025067672
price_vs_sma_20,0.02398343
momentum_10d,0.022505349
price_vs_sma_200,0.022155
rsi_dist_30,0.02163771
bb_position,0.021606227
momentum_21d,0.020149922
momentum_5d,0.019200535
momentum_quality,0.018632142
dist_from_52w_high,0.016714187
trend_following_regime,0.01447989
hh_count_5,0.014270607
mean_reversion_regime,0.013517828
roc_10,0.012706885
ll_count_5,0.0114065325
log_returns,0.010571605
weak_trend,0.010241403
high_vol_regime,0.008222455
macd_hist_increasing,0.007781969
rsi_bearish_div,0.0065048407
rsi_dist_50,0.006438178
williams_r,0.0053057447
neutral_regime,0.0050383927
lower_low,0.0041806363
rsi_dist_70,0.0030119687
roc_21,0.0024510662
macd_hist_positive,0.00238715
higher_high,0.0023575812
gap_up,0.0019508481
rsi_overbought_70,0.0
rsi_cross_up_30,0.0
rsi_cross_down_70,0.0
rsi_cross_up_50,0.0
rsi_cross_down_50,0.0
rsi_bullish_div,0.0
roc_5,0.0
macd_above_zero,0.0
macd_cross_down,0.0
macd_above_signal,0.0
macd_cross_up,0.0
rsi_oversold_20,0.0
rsi_oversold_25,0.0
rsi_oversold_30,0.0
rsi_overbought_80,0.0
rsi_overbought_75,0.0
extreme_vol_regime,0.0
low_vol_regime,0.0
golden_cross,0.0
trend_up,0.0
squeeze_on,0.0
true_squeeze,0.0
cci_overbought,0.0
cci_oversold,0.0
strong_trend,0.0
death_cross,0.0
bull_regime,0.0
bear_regime,0.0
mfi_oversold,0.0
mfi_overbought,0.0
vol_price_div,0.0
regime_score,0.0
stoch_cross_up,0.0
inside_bar,0.0
outside_bar,0.0
gap_down,0.0
new_52w_high,0.0
new_52w_low,0.0
